name,type,abv,flavor_tags
151 proof rum,spirit,,
7-up,other,,
absinthe,spirit,,
absolut citron,spirit,,
absolut kurant,spirit,40,
absolut peppar,spirit,40,
absolut vodka,spirit,40,
advocaat,spirit,17,
ale,spirit,4,
allspice,other,,
almond,other,,
almond flavoring,other,,
amaretto,liqueur,28,
angelica root,other,,
angostura bitters,bitter,,
anis,other,,
anise,other,,
aperol,liqueur,11,
apple,other,,
apple brandy,spirit,35,
apple cider,spirit,5,
apple juice,other,,
apple schnapps,spirit,18,
applejack,spirit,40,
apricot,other,,
apricot brandy,spirit,24,
apricot nectar,other,,
aquavit,other,,
asafoetida,other,,
añejo rum,spirit,38,
bacardi limon,spirit,32,
baileys irish cream,liqueur,13,
banana,other,,
banana liqueur,liqueur,,
basil,other,,
beer,spirit,4,
benedictine,other,,
berries,other,,
bitter lemon,other,,
bitters,other,,
black pepper,other,,
blackberries,other,,
blackberry brandy,spirit,,
blackcurrant cordial,other,,
blackcurrant squash,other,,
blackstrap rum,spirit,,
blended whiskey,spirit,40,
blue curacao,liqueur,,
blueberries,other,,
blueberry schnapps,spirit,,
bourbon,spirit,,
brandy,spirit,,
brown sugar,other,,
butter,other,,
butterscotch schnapps,spirit,,
cachaca,spirit,,
campari,spirit,,
candy,other,,
cantaloupe,other,,
caramel coloring,other,,
caramel sauce,other,,
carbonated soft drink,other,,
carbonated water,other,,
cardamom,other,,
carrot,other,,
cayenne pepper,other,,
celery salt,other,,
chambord raspberry liqueur,liqueur,,
champagne,spirit,13,
cherry,other,,
cherry brandy,spirit,,
cherry grenadine,syrup,,
cherry heering,spirit,,
cherry juice,other,,
chocolate,other,,
chocolate ice-cream,other,,
chocolate liqueur,liqueur,,
chocolate milk,other,,
chocolate sauce,other,,
chocolate syrup,syrup,,
cider,spirit,4,
cinnamon,other,,
cloves,other,,
club soda,other,,
coca-cola,other,,
cocoa powder,other,,
coconut liqueur,liqueur,,
coconut rum,spirit,,
coconut syrup,syrup,,
coffee,other,,
coffee liqueur,liqueur,,
cognac,spirit,,
cointreau,liqueur,40,
condensed milk,other,,
coriander,other,,
corn syrup,syrup,,
cornstarch,other,,
corona,spirit,4,
cranberries,other,,
cranberry juice,juice,,
cream,other,,
cream of coconut,other,,
creme de banane,spirit,,
creme de cacao,spirit,,
creme de cassis,liqueur,15,
creme de mure,spirit,16,
crown royal,spirit,,
cumin seed,other,,
daiquiri mix,other,,
dark creme de cacao,other,,
dark rum,spirit,40,
demerara sugar,other,,
dr. pepper,other,,
dry vermouth,spirit,,
egg,other,,
egg white,other,,
egg yolk,other,,
elderflower cordial,other,,
erin cream,other,,
espresso,other,,
everclear,other,,
falernum,syrup,,
fennel seeds,other,,
figs,other,0,
firewater,other,,
food coloring,other,,
frangelico,spirit,,
fresca,other,,
fresh lemon juice,juice,,
fresh lime juice,other,,
fruit,other,,
fruit juice,juice,,
fruit punch,juice,,
galliano,liqueur,,
gin,spirit,40,
ginger,other,,
ginger ale,other,,
ginger beer,other,,
glycerine,other,,
godiva liqueur,liqueur,,
gold rum,spirit,,
gold tequila,spirit,,
goldschlager,spirit,44,
grain alcohol,spirit,,
grand marnier,liqueur,,
grape juice,juice,,
grape soda,other,,
grapefruit juice,juice,,
grapes,other,,
green chartreuse,spirit,,
green creme de menthe,liqueur,,
grenadine,syrup,,
guava juice,juice,,
guinness stout,spirit,,
half-and-half,other,,
heavy cream,other,,
honey,other,,
hot chocolate,other,,
hot damn,other,,
hot sauce,other,,
hpnotiq,other,,
ice,other,,
iced tea,other,,
irish cream,liqueur,,
irish whiskey,spirit,,
jack daniels,spirit,,
jello,other,,
jim beam,spirit,,
johnnie walker,spirit,,
jägermeister,liqueur,35,
kahlua,liqueur,,
kirschwasser,spirit,,
kiwi,other,,
kool-aid,other,,
kummel,spirit,,
lager,spirit,4,
lavender,other,,
lemon,other,,
lemon juice,juice,,
lemon peel,other,,
lemon vodka,spirit,,
lemon-lime soda,other,,
lemonade,other,,
licorice root,other,,
light cream,other,,
light rum,spirit,,
lillet,other,,
lillet blanc,liqueur,,
lime,other,,
lime juice,juice,,
lime juice cordial,other,,
lime peel,other,,
limeade,other,,
malibu rum,spirit,21,
mango,other,,
maraschino cherry,other,,
maraschino liqueur,liqueur,,
marjoram leaves,other,,
marshmallows,other,,
maui,other,,
mezcal,spirit,,
midori melon liqueur,liqueur,,
milk,other,,
mini-snickers bars,other,,
mint,other,,
mint syrup,syrup,,
mountain dew,other,,
nutmeg,other,,
olive,other,,
olive brine,other,,
orange,other,,
orange bitters,bitter,,
orange curacao,liqueur,,
orange juice,juice,,
orange peel,other,,
orgeat syrup,syrup,,
papaya,other,,
passion fruit juice,other,,
passion fruit syrup,syrup,,
passoa,liqueur,17,
peach nectar,juice,,
peach schnapps,spirit,,
peach vodka,spirit,,
peachtree schnapps,spirit,,
pepper,other,,
peppermint extract,other,,
peppermint schnapps,spirit,,
pepsi cola,other,,
pina colada mix,other,,
pineapple,other,,
pineapple juice,juice,,
pineapple syrup,juice,,
pisang ambon,spirit,,
pisco,spirit,,
pomegranate juice,juice,,
port,spirit,,
powdered sugar,other,,
prosecco,spirit,,
raisins,other,,
raspberry liqueur,liqueur,,
raspberry vodka,spirit,,
red chili flakes,other,,
red wine,spirit,14,
ricard,liqueur,,
root beer,other,,
rose,spirit,14,
rosemary syrup,syrup,0,
roses sweetened lime juice,other,,
rum,spirit,40,
rumple minze,spirit,,
rye whiskey,spirit,,
salt,other,,
sambuca,liqueur,38,
schweppes russchian,other,,
scotch,spirit,,
sherbet,other,,
sherry,spirit,,
sirup of roses,syrup,,
sloe gin,liqueur,,
soda water,other,,
sour mix,other,,
southern comfort,liqueur,,
soy sauce,other,,
spiced rum,spirit,,
sprite,other,,
st. germain,spirit,,
strawberries,other,,
strawberry liqueur,spirit,,
strawberry schnapps,spirit,,
sugar,other,,
sugar syrup,syrup,,
surge,other,,
sweet and sour,other,,
sweet vermouth,spirit,,
tabasco sauce,other,,
tea,other,,
tennessee whiskey,spirit,,
tequila,spirit,40,
thyme,other,0,
tia maria,spirit,,
tomato juice,other,,
tonic water,other,,
triple sec,liqueur,,
tropicana,juice,,
vanilla,other,,
vanilla extract,other,,
vanilla ice-cream,other,,
vanilla syrup,syrup,,
vanilla vodka,spirit,,
vermouth,spirit,,
vodka,spirit,40,
water,other,,
whipped cream,other,,
whipping cream,other,,
whiskey,spirit,40,
whisky,spirit,40,
white creme de menthe,spirit,,
white rum,spirit,,
white wine,spirit,,
wild turkey,spirit,,
wine,spirit,14,
worcestershire sauce,other,,
wormwood,other,,
yellow chartreuse,liqueur,,
yoghurt,other,,
yukon jack,liqueur,,
zima,spirit,,
